1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,0.010281001927914223,0.008784354857064965,0.0,0.0,0.0,0.0,0.004879622566838321,0.0,0.0,0.03413881649772867,5000
1,1,0.010470707406620578,0.008937885004401763,0.07109145894949963,0.0,0.00017998072572823542,0.00015539001334767023,0.005430881426087308,0.0,0.0,0.03371319816539415,5000
2,1,0.010068610328916282,0.009099917306600558,0.05786382923596717,0.0,0.0016717584019527573,0.0,0.005113518274017067,0.0,0.0,0.03167859653661889,4750
3,1,0.010149731837097838,0.009061046161831657,0.046526768595818696,0.000625389324259635,0.003437045946525094,0.0,0.005109837753722955,0.0,0.0,0.029698873892569512,4492
4,1,0.010233550280232491,0.009126711245638875,0.03857461952368412,0.0,0.0035055651445422362,0.0004357485731526291,0.005045587478798132,0.0,0.0,0.02865532709447738,4318
5,1,0.01038988711666371,0.009438137623422643,0.031150935307190906,0.0,0.004048845153509755,0.00045021299847455387,0.005054884549836156,0.0,0.0,0.027943504363600446,4045
6,1,0.010435311045843053,0.00962016062220085,0.025570683243337503,0.0,0.003190666690258033,0.00045791926394504485,0.005221879588044401,0.0,0.0,0.02735288598890853,3910
7,1,0.01046420625860967,0.009841462858043104,0.022295641952465185,0.0,0.0037234947864450744,0.0004628583060301536,0.005233818222103337,0.0,0.0,0.026680405353022636,3827
8,1,0.010718342783024144,0.009438887215966384,0.018506762141101245,0.0,0.0038594048876456595,0.0004797669588175767,0.0053004064340387265,0.0,0.0,0.026473475732341815,3562
9,1,0.01091027295257809,0.009557260821994217,0.016419909565549225,0.0,0.003446901123860581,0.0006995278956658224,0.005357480866180519,0.0,0.0,0.02636377285263548,3350
10,1,0.010898103168078693,0.009627449843577008,0.014478231643687603,0.0,0.004156215972839449,0.0,0.005017554458169874,0.0,0.0,0.0260355082941151,3071
11,1,0.011160499353756712,0.009576726199038937,0.01380524482873446,0.0,0.0030586449571473944,0.0,0.0050650438865611925,0.0,0.0,0.02617499858308027,2837
12,1,0.010932880622922983,0.009819669509564408,0.012029535091788434,0.0,0.0,0.0,0.00517030143332438,0.0,0.0,0.02600482572563913,2555
13,1,0.010893260439171706,0.00980037842620326,0.011518118361811887,0.0,0.0,0.0,0.005057655522905629,0.0,0.0,0.02666171174489518,2401
14,1,0.011039103081870812,0.010046675809034346,0.011314599206388684,0.0,0.0,0.0,0.005805053224832306,0.0,0.0,0.026820304156909818,2117
15,1,0.011202304683193666,0.010171980624475897,0.011266244950827163,0.0,0.0,0.0,0.004773205095751199,0.0,0.0,0.026204322540215187,1891
16,1,0.011046182005912415,0.010486730517778627,0.011039210937597051,0.0,0.0,0.0,0.00474035121073681,0.0,0.0,0.02633012519996527,1667
17,1,0.010800086906712957,0.011177912062965265,0.01080427276724857,0.0,0.0,0.0,0.004612930702418282,0.0,0.0,0.02613527252168094,1418
18,1,0.011001193484440563,0.012621524613884931,0.011098517615952985,0.0,0.0,0.0,0.004590462929254706,0.0,0.0,0.02632209611960734,1175
19,1,0.01107697898785047,0.013290626273897176,0.011546398683287136,0.0,0.0,0.0,0.004387016428623622,0.0,0.0,0.0259398147624246,981
20,1,0.010907717305051374,0.013315181450806957,0.012037817062335842,0.0,0.0,0.0,0.004324916693938636,0.0,0.0,0.025784050390633195,819
21,1,0.01112186048538746,0.013594891281370232,0.01256933672860205,0.0,0.0,0.0,0.004387923242640364,0.0,0.0,0.025516170922298173,676
22,1,0.010535263545894043,0.014429990923957341,0.012486048664125917,0.0,0.0,0.0,0.0044452450205255765,0.0,0.0,0.026251604667828783,577
23,1,0.01093677764242928,0.013473043243527627,0.0117329227655008,0.0,0.0,0.0,0.004247140154851767,0.0,0.0,0.026110168299121123,470
24,1,0.010641437615941409,0.012878275450328647,0.010641437615941404,0.0,0.0,0.0,0.004384533468170202,0.0,0.0,0.025948505587991586,380
25,1,0.010491972997922917,0.015217619698900453,0.010491972997922903,0.0,0.0,0.0,0.004089685763712628,0.0,0.0,0.025304295120332863,331
26,1,0.009926652031517226,0.013640444315301453,0.009926652031517226,0.0,0.0,0.0,0.004217941816046132,0.0,0.0,0.02597375069598177,258
27,1,0.01022029564565552,0.014544245924662361,0.010220295645655518,0.0,0.0,0.0,0.0039058576348380337,0.0,0.0,0.027250782142529822,206
28,1,0.014645704449094849,0.01585530777831423,0.01902697936851641,0.0,0.0,0.0,0.004108394304402382,0.0,0.0,0.02600151475168857,150
29,1,0.010405901882123746,0.013735863183192858,0.018605241688574484,0.0,0.0,0.0,0.003978662938706956,0.0,0.0,0.029005008924860482,110
30,1,0.012468871398635941,0.014262493494585094,0.012468871398635945,0.0,0.0,0.0,0.004458845564937124,0.0,0.0,0.026248144821441072,94
31,1,0.012269556324082501,0.014537024156775461,0.012269556324082501,0.0,0.0,0.0,0.004254620052554401,0.0,0.0,0.026760417374447093,63
32,1,0.011861066633503031,0.016038477598715337,0.011861066633503014,0.0,0.0,0.0,0.00463546262018805,0.0,0.0,0.02187415674184754,41
33,1,0.013274241024772352,0.017585496332214436,0.013274241024772346,0.0,0.0,0.0,0.004858917657340523,0.0,0.0,0.02292092507259813,34
34,1,0.013380031415526385,0.014150968820947822,0.013380031415526385,0.0,0.0,0.0,0.005029832156856301,0.0,0.0,0.020946540466372395,20
35,1,0.011974541552085582,0.014609040036425856,0.011974541552085582,0.0,0.0,0.0,0.005277651022729066,0.0,0.0,0.015604321767696371,13
36,1,1.1644117316690923e-16,1.1644117316690923e-16,0.0,0.0,0.0,0.0,5.45817999219887e-18,0.0,0.0,5.822058658345462e-17,11
37,1,0.0,1.2161883888976234e-16,0.0,0.0,0.0,0.0,1.9002943576525366e-18,0.0,0.0,6.080941944488117e-17,6
38,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
39,1,0.0,0.0,0.0,0.0,0.0,0.0,1.939479807224432e-18,0.0,0.0,0.0,5
40,1,5.887846720064156e-17,1.1775693440128312e-16,1.1775693440128312e-16,0.0,0.0,0.0,3.6799042000400975e-18,0.0,0.0,0.0,9
41,1,,,,,,,,,,,1
42,1,,,,,,,,,,,1
43,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
44,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
45,1,0.0,1.3597399555105182e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.798699777552591e-17,3
46,1,,,,,,,,,,,1
