1

n,environment,I0,I0p,a,b,bp,h,s,m,ma,size
0,1,-0.522073686513592,0.706820130949133,0.0,0.0,0.0,0.0,0.021029473833856258,0.0,0.0,0.46621723225270745,5000
1,1,-0.5218702831942075,0.7069016998693459,0.5504107414600968,0.0,7.5486956924739084e-06,0.0,0.020961279829271096,0.0,0.0,0.46674835954251903,5000
2,1,-0.5219715340928474,0.7069064402459301,0.5468336533811177,1.974234882028528e-06,2.2907229493649327e-05,0.0,0.021077220113596928,0.0,0.0,0.4641182091802018,4943
3,1,-0.521889153900279,0.7067482719980239,0.5461407854323389,1.817030997835496e-05,2.417387604336222e-05,0.0,0.021174346325145622,0.0,0.0,0.4616926541697342,4684
4,1,-0.5217271108985878,0.7067079975197573,0.5472288149825915,2.17244947058482e-06,1.6804754435605317e-05,0.0,0.021005703108623413,0.0,0.0,0.46026663350548364,4492
5,1,-0.5214423921632594,0.7067608128541903,0.5507153291713832,6.65513277235759e-06,1.4685202540979023e-05,-1.3748572146628643e-05,0.021000736964280422,0.0,0.0,0.4595977726091632,4399
6,1,-0.5211184804811797,0.706832718003617,0.5549952307814305,4.555855752505608e-06,6.269077384546494e-06,-2.8235279585910084e-05,0.02089980141687324,0.0,0.0,0.4584945908402438,4284
7,1,-0.5210216968295045,0.7067273469687239,0.5600310922298988,0.0,0.0,-4.3272097929658525e-05,0.020782874417835596,0.0,0.0,0.45848150652766,4193
8,1,-0.5207701395408229,0.7067962206354089,0.5652063132138155,0.0,0.0,-1.037282363550108e-05,0.020792304681345547,0.0,0.0,0.4573828841546962,3817
9,1,-0.5203466432645468,0.7067190576823147,0.5706585428181814,0.0,0.0,-2.3711170752726697e-05,0.02099277571830749,0.0,0.0,0.45674194469923957,3590
10,1,-0.5201137094784561,0.7065348138807397,0.5764011166431224,0.0,0.0,-7.369358292245644e-06,0.02097293575254892,0.0,0.0,0.4566174040364356,3344
11,1,-0.5200029338138298,0.7063789135615302,0.5819848797056106,0.0,0.0,0.0,0.021011488864135428,0.0,0.0,0.45673233563865134,3063
12,1,-0.5195990297070462,0.7063600238734524,0.587855579276908,0.0,0.0,0.0,0.021149405359274558,0.0,0.0,0.45723420459890374,2826
13,1,-0.5192700688482983,0.7063131657116959,0.5936861276424393,0.0,0.0,0.0,0.02117609308553193,0.0,0.0,0.457017257815624,2605
14,1,-0.519231053155368,0.7062746397367704,0.5997905818570195,0.0,0.0,0.0,0.02103865018298175,0.0,0.0,0.45635870903052667,2346
15,1,-0.5186816805520571,0.7058268310892024,0.6054099168544073,0.0,0.0,0.0,0.021103368376747318,0.0,0.0,0.4571363964596039,2060
16,1,-0.5181569915352039,0.7057483814821369,0.6110351945839847,0.0,0.0,0.0,0.02108455917300907,0.0,0.0,0.45675813615259364,1880
17,1,-0.5181665478807064,0.7054970568383964,0.6172302539053014,0.0,0.0,0.0,0.021082596763171747,0.0,0.0,0.4561588915047811,1671
18,1,-0.5179330030799669,0.7056731670366834,0.6231459326369584,0.0,0.0,0.0,0.020936226077616693,0.0,0.0,0.4559150141728632,1424
19,1,-0.5171892676983825,0.7061590752501329,0.6284536055627851,0.0,0.0,0.0,0.020728456841750766,0.0,0.0,0.4557593482092059,1196
20,1,-0.5167123984091273,0.7057151439010956,0.634073393058904,0.0,0.0,0.0,0.020889969789020937,0.0,0.0,0.45477135428140925,1025
21,1,-0.5165895813104335,0.7059693549268621,0.6402819133685396,0.0,0.0,0.0,0.02124579875410816,0.0,0.0,0.45387654702776536,895
22,1,-0.5158478923701224,0.7052006199694292,0.6457970953516772,0.0,0.0,0.0,0.02135500367607835,0.0,0.0,0.45456826124761873,747
23,1,-0.5149172113948596,0.704622319112576,0.6509933599561033,0.0,0.0,0.0,0.021461055720524147,0.0,0.0,0.45591426505133326,604
24,1,-0.5146745237948954,0.7060869914123964,0.6569497688536298,0.0,0.0,0.0,0.021493195704703053,0.0,0.0,0.45627476608239126,455
25,1,-0.5151060055191201,0.7062947830379878,0.6633621377131486,0.0,0.0,0.0,0.021392707711790256,0.0,0.0,0.45440561849450356,379
26,1,-0.5122856517633245,0.7064415793614306,0.6664126803280587,0.0,0.0,0.0,0.02157940264933179,0.0,0.0,0.45525587878782797,279
27,1,-0.5116110600704817,0.7072773036210658,0.6716309646615106,0.0,0.0,0.0,0.021385735357568818,0.0,0.0,0.45773957680708177,234
28,1,-0.5093466541908217,0.7079084345557353,0.6741273577868123,0.0,0.0,0.0,0.02161096748132778,0.0,0.0,0.45679614155612674,185
29,1,-0.5116544051947417,0.7070815607838332,0.6768216219266462,0.0,0.0,0.0,0.0221350455033079,0.0,0.0,0.4545699148196813,151
30,1,-0.5114987356226096,0.7059048144230459,0.6758147755128923,0.0,0.0,0.0,0.021823143513330385,0.0,0.0,0.4575067287245931,114
31,1,-0.5090741775545155,0.7057694421305768,0.6776680657308559,0.0,0.0,0.0,0.021526594218476334,0.0,0.0,0.4611334600355954,96
32,1,-0.5131038958061901,0.7043872956908808,0.6688126473578815,0.0,0.0,0.0,0.02172325101857375,0.0,0.0,0.46582080673989196,67
33,1,-0.5153984358586574,0.7047501811204833,0.6703031909491203,0.0,0.0,0.0,0.021932904626630712,0.0,0.0,0.4726030967806793,54
34,1,-0.5157984178348173,0.7036402468084724,0.6533710016982398,0.0,0.0,0.0,0.02136092923838008,0.0,0.0,0.4811770798775079,48
35,1,-0.5213031443257047,0.703049259188943,0.6552936843585453,0.0,0.0,0.0,0.021489590930480754,0.0,0.0,0.4854620733663017,44
36,1,-0.5233779749610898,0.6999127773318355,0.5974029965775618,0.0,0.0,0.0,0.02226130548316245,0.0,0.0,0.5116978420768505,40
37,1,-0.5222792607198609,0.6989021803162655,0.5985210171530151,0.0,0.0,0.0,0.02252273381139165,0.0,0.0,0.5163657643337832,31
38,1,-0.5250942861260675,0.6990837696011615,0.5894417817667902,0.0,0.0,0.0,0.022713198126344158,0.0,0.0,0.5200987837589178,27
39,1,-0.5233988954601393,0.7036179525448991,0.631483888730369,0.0,0.0,0.0,0.023089377784484128,0.0,0.0,0.5054483670578653,17
40,1,-0.5214146456147252,0.6996085624382254,0.6022440326927164,0.0,0.0,0.0,0.02357954287540284,0.0,0.0,0.5148988353593644,12
41,1,-0.5272776755900056,0.6894851192230034,0.461068992180784,0.0,0.0,0.0,0.022238374822516477,0.0,0.0,0.5491939668398307,17
42,1,-0.5272687552995873,0.6897754646858981,0.4667768959480246,0.0,0.0,0.0,0.022194263488808805,0.0,0.0,0.5462077008353541,11
43,1,-0.5272754950745699,0.6895560925583777,0.4531459401504538,0.0,0.0,0.0,0.0222275920520546,0.0,0.0,0.5484639907054031,15
44,1,-0.52727939704956,0.6893746271360399,0.44265207189131156,0.0,0.0,0.0,0.022246887536039008,0.0,0.0,0.5497702637880629,19
45,1,-0.5272647646433475,0.6898508955707886,0.4573185758850639,0.0,0.0,0.0,0.022174529471097482,0.0,0.0,0.5448717397280881,19
46,1,-0.52727939704956,0.6893746271360399,0.4318316457711818,0.0,0.0,0.0,0.022246887536039008,0.0,0.0,0.5497702637880629,19
47,1,-0.5272940294557725,0.688952819207696,0.4051382798712141,0.0,0.0,0.0,0.022319245600980534,0.0,0.0,0.5546687878480376,21
48,1,-0.5272940294557725,0.688952819207696,0.41260325547385057,0.0,0.0,0.0,0.022319245600980534,0.0,0.0,0.5546687878480374,31
49,1,-0.5272940294557729,0.688952819207696,0.41516389209473775,0.0,0.0,0.0,0.022319245600980534,0.0,0.0,0.5546687878480373,39
