R,P,q
100.0, 0.59999999999999998, 1.9
100.0, 0.69999999999999996, 1.4
100.0, 0.80000000000000004, 1.2
100.0, 0.90000000000000002, 1.1
100.0, 1.0, 1.1
316.22800000000001, 0.0, 3.6
316.22800000000001, 0.10000000000000001, 3.8
316.22800000000001, 0.20000000000000001, 3.5
316.22800000000001, 0.29999999999999999, 3.9
316.22800000000001, 0.40000000000000002, 5.3
316.22800000000001, 0.5, 4.0
316.22800000000001, 0.59999999999999998, 1.7
316.22800000000001, 0.69999999999999996, 1.3
316.22800000000001, 0.80000000000000004, 1.2
316.22800000000001, 0.90000000000000002, 1.1
316.22800000000001, 1.0, 1.1
1000.0, 0.0, 2.1
1000.0, 0.10000000000000001, 2.0
1000.0, 0.20000000000000001, 2.7
1000.0, 0.29999999999999999, 1.8
1000.0, 0.40000000000000002, 1.9
1000.0, 0.5, 2.0
1000.0, 0.59999999999999998, 1.7
1000.0, 0.69999999999999996, 2.1
1000.0, 0.80000000000000004, 1.3
