R,Ptrans
0.40999999999999998, 0.25
0.45000000000000001, 0.23
0.48999999999999999, 0.23
0.53000000000000003, 0.23
0.56999999999999995, 0.24
0.60999999999999999, 0.23
0.65000000000000002, 0.22
0.68999999999999995, 0.24
0.72999999999999998, 0.22
0.77000000000000002, 0.23
0.81000000000000005, 0.22
0.84999999999999998, 0.22
0.89000000000000001, 0.23
0.93000000000000005, 0.23
0.96999999999999997, 0.22
1.01, 0.24
1.05, 0.22
1.0900000000000001, 0.22
1.1299999999999999, 0.22
1.1699999999999999, 0.22
1.21, 0.22
1.25, 0.22
1.29, 0.22
1.3999999999999999, 0.22
1.6000000000000001, 0.24
1.8, 0.21
2.0, 0.29
2.2000000000000002, 0.21
2.3999999999999999, 0.21
2.6000000000000001, 0.19
2.7999999999999998, 0.2
3.0, 0.19
3.2000000000000002, 0.18
3.3999999999999999, 0.17
0.41999999999999998, 0.24
0.46000000000000002, 0.22
0.5, 0.31
0.54000000000000004, 0.22
0.57999999999999996, 0.23
0.62, 0.24
0.66000000000000003, 0.23
0.69999999999999996, 0.23
0.73999999999999999, 0.22
0.78000000000000003, 0.23
0.81999999999999995, 0.22
0.85999999999999999, 0.24
0.90000000000000002, 0.23
0.93999999999999995, 0.22
0.97999999999999998, 0.22
1.02, 0.22
1.0600000000000001, 0.22
1.1000000000000001, 0.22
1.1399999999999999, 0.22
1.1799999999999999, 0.22
1.22, 0.22
1.26, 0.22
1.3, 0.22
1.45, 0.21
1.6499999999999999, 0.22
1.8500000000000001, 0.21
2.0499999999999998, 0.2
2.25, 0.2
2.4500000000000002, 0.19
2.6499999999999999, 0.19
2.8500000000000001, 0.19
3.0499999999999998, 0.19
3.25, 0.18
3.4500000000000002, 0.17
0.42999999999999999, 0.25
0.46999999999999997, 0.23
0.51000000000000001, 0.24
0.55000000000000004, 0.24
0.58999999999999997, 0.23
0.63, 0.23
0.67000000000000004, 0.22
0.70999999999999996, 0.23
0.75, 0.23
0.79000000000000004, 0.23
0.82999999999999996, 0.22
0.87, 0.23
0.91000000000000003, 0.22
0.94999999999999996, 0.23
0.98999999999999999, 0.22
1.03, 0.22
1.0700000000000001, 0.22
1.1100000000000001, 0.22
1.1499999999999999, 0.23
1.1899999999999999, 0.22
1.23, 0.22
1.27, 0.21
1.3100000000000001, 0.22
1.5, 0.22
1.7, 0.22
1.8999999999999999, 0.2
2.1000000000000001, 0.2
2.2999999999999998, 0.2
2.5, 0.2
2.7000000000000002, 0.19
2.8999999999999999, 0.18
3.1000000000000001, 0.18
3.2999999999999998, 0.17
3.5, 0.18
0.44, 0.23
0.47999999999999998, 0.23
0.52000000000000002, 0.22
0.56000000000000005, 0.24
0.59999999999999998, 0.27
0.64000000000000001, 0.23
0.68000000000000005, 0.22
0.71999999999999997, 0.23
0.76000000000000001, 0.24
0.80000000000000004, 0.34
0.83999999999999997, 0.23
0.88, 0.23
0.92000000000000004, 0.22
0.95999999999999996, 0.23
1.0, 0.3
1.04, 0.22
1.0800000000000001, 0.22
1.1200000000000001, 0.22
1.1599999999999999, 0.22
1.2, 0.27
1.24, 0.22
1.28, 0.21
1.3500000000000001, 0.21
1.55, 0.22
1.75, 0.2
1.95, 0.2
2.1499999999999999, 0.2
2.3500000000000001, 0.19
2.5499999999999998, 0.19
2.75, 0.18
2.9500000000000002, 0.19
3.1499999999999999, 0.17
3.3500000000000001, 0.16
